"00017","PEPSI COLA CUBE"
"00053","DT PEPSI COLA CUBE"
"00085","MOUNTAIN DEW 12Z"
"00088","MT DEW CUBE"
"00113","PEPSI PEPSI COLA   2"
"00121","PEPSI COLA DIET C/F"
"00129","PEPSI"
"00130","PEPSI DIET"
"00131","MOUNTAIN DEW"
"00132","DIET PEPSI 2LTR"
"00134","DIET MOUNTAIN DEW"
"00166","DIET MOUNTAIN DEW"
"00233","PEPSI MOUNT DEW    2"
"00311","PEPSI WILD CHERRY"
"00355","FRAPPUCCINO COFFEE"
"00490","PEPSI CAFF. FREE 12Z"
"00492","PEPSI PEPSI FREE   2"
"00494","DIET PEPSI CAF.FREE"
"00496","PEPSI DIET C/F"
"00519","PEPSI COLA C/F"
"00524","C/F DT PEPSI CUBE"
"00568","PEPSI 6 PACK"
"00569","DIET PEPSI 12Z"
"00649","FRAPPUCCINO MOCHA"
"00746","DIET MNTN DEW 2LTR"
"00826","PEPSI 24Z"
"00841","DIET PEPSI 24Z"
"00849","MOUNTAIN DEW 24Z"
"00899","MUG ROOTBEER 12Z"
"00910","MUG ROOT BEER"
"00916","DIET PEPSI C/F 24Z"
"00935","MUG ROOTBEER"
"00938","DT MUG ROOTBEER 12Z"
"00952","DIET MUG ROOTBEER"
"10092","FRAPPUCCINA MOCHA"
"10151","FRAPPUCCINO COFFEE"
"00020","SCHWPPS GNGRALE 12Z"
"53106","SCHWPP DT GNGRALE 12"
"00280","LIPTON BRISK    24Z"
"00814","LIPTON ICED TEA 12Z"
"20236","LIPTON BRISK TEA 12Z"
"20237","LIPTON BRISK TEA"
"00990","LIPTON LMN ICED TEA"
"00995","LIPTON ICED TEA RASP"
"00997","LIPTON DIET W/LEMON"
"10728","LIPTON DT ICED TEA 1"
"21798","ORANGE CRUSH"
"40000","SOBE ORANGE CARROT E"
"90000","SOBE ENERGY DRINK"
"00100","TROP PREM OR JUICE C"
"01833","TROP PREM OJ PLASTIC"
"90010","SOBE POWER"
"10114","FRAPPUCCINO VANILLA"
"00159","AQUAFIN WATER"
"00909","PEPSI ONE"
"00208","PEPSI ONE"
"00410","FRAPP VANILLA"
"80010","SOBE GREEN TEA"
"00408","HAWAIIAN PUNCH 2LT"
"00354","SIERRA MIST"
"00183","SIERRA MIST"
"00237","SIERRA MIST"
"90041","SOBE LIZARD FUEL"
"60025","SOBE LEAN GREEN TEA"
"00317","AQUAFINA"
"10542","MT DEW CODE RED"
"50600","SCHWEPPES GINGERALE"
"00160","DIET PEPSI TWIST"
"20115","DIET SIERRA MIST"
"20123","DIET SIERRA MIST"
"10090","SOBE NIRVANA"
"10070","SOBE LIZARD LAVA"
"10130","SIERRA MIST"
"00306","SIERRA MIST  24Z"
"19415","STRAW/BANANA SMOOTHI"
"72015","NA GREEN MACHINE"
"91715","NA POWER C"
"72215","NA PROTEIN ZONE"
"23464","NAKED OJ"
"98815","NA BERRY BLAST"
"50404","AQUAFINA 16.9 OZ 24P"
"00177","STARBUCKS DBL SHOT"
"20646","SCHWEPPES GINGERALE"
"20746","SCHWEPPES DIET GNGR"
"20616","SCHWEPPS GINGER ALE"
"20610","SCHWEPPE GINGER ALE"
"20661","SCHWEPPES GINGERALE"
"00346","SCHWPPS GNGRALE 12Z"
"00351","SCHWPP DT GNGRALE 12"
"20640","SCHWEPPES GINGERALE"
"20645","SCHWEPPES GINGER ALE"
"20745","PEPSI SCHWEP D/G/A 1"
"21845","SCHWEPPES TONIC WATE"
"21945","SCHWP DIET TONC WA 1"
"20345","SWEPS CLUB SODA    1"
"00357","SCHWP TONIC WATER  1"
"00361","SCHWP CLUB SODA    1"
"00343","SCHWP GINGER ALE   1"
"00001","ROCKSTAR ENERGY DRIN"
"00239","PEPSI"
